what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1241962211917
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets,1241962211928
stopped,bundle,org.eclipse.help.ui,3.3.102.v20081014_34x,org.eclipse.help.ui,1241962211937
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1241962211947
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1241962211947
stopped,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1241962211955
stopped,bundle,com.android.ide.eclipse.ddms,0.9.1.v200905011822-1621,com.android.ide.eclipse.ddms,1241962211955
stopped,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1241962211955
stopped,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1241962211956
stopped,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1241962211971
stopped,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1241962211971
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200902171115,org.eclipse.emf.common.ui,1241962211971
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.2.v200811200248,org.eclipse.wst.command.env.ui,1241962211974
stopped,bundle,org.eclipse.wst.validation.ui,1.2.4.v200901291336,org.eclipse.wst.validation.ui,1241962211987
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.1.202.v200901292145,org.eclipse.wst.common.frameworks.ui,1241962212001
stopped,bundle,org.eclipse.wst.common.project.facet.ui,1.3.2.v200809022055,org.eclipse.wst.common.project.facet.ui,1241962212014
stopped,bundle,org.eclipse.wst.common.snippets,1.1.200.v200805140415,org.eclipse.wst.common.snippets,1241962212030
stopped,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1241962212046
