what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.0.v20080604,org.eclipse.equinox.p2.metadata.repository,1241962004510
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.4.v20081027-2115,org.eclipse.equinox.p2.reconciler.dropins,1241962004511
started,bundle,org.eclipse.equinox.p2.ui,1.0.4.R34x_v20090123,org.eclipse.equinox.p2.ui,1241962004519
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk,1241962004520
started,bundle,org.eclipse.equinox.p2.updatechecker,1.0.0.v20080427-2136,org.eclipse.equinox.p2.updatechecker,1241962004524
started,bundle,org.eclipse.equinox.preferences,3.2.201.R34x_v20080709,org.eclipse.equinox.preferences,1241962004530
started,bundle,org.eclipse.equinox.registry,3.4.0.v20080516-0950,org.eclipse.equinox.registry,1241962004543
started,bundle,org.eclipse.equinox.security,1.0.1.R34x_v20080721,org.eclipse.equinox.security,1241962004552
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.4.v20080930,org.eclipse.equinox.simpleconfigurator.manipulator,1241962004562
started,bundle,org.eclipse.help,3.3.102.v20081014_34x,org.eclipse.help,1241962004571
started,bundle,org.eclipse.jface,3.4.2.M20090107-0800,org.eclipse.jface,1241962004582
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1241962004582
started,bundle,org.eclipse.team.core,3.4.2.r34x_20080115,org.eclipse.team.core,1241962004584
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1241962004594
started,bundle,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui,1241962004601
started,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1241962004609
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1241962004622
started,bundle,org.eclipse.ui.forms,3.3.103.v20081027_34x,org.eclipse.ui.forms,1241962004632
started,bundle,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.ide,1241962004644
started,bundle,org.eclipse.ui.intro,3.2.201.v20080702_34x,org.eclipse.ui.intro,1241962004649
started,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1241962004649
started,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1241962004650
started,bundle,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views,1241962004659
started,bundle,org.eclipse.ui.workbench,3.4.2.M20090127-1700,org.eclipse.ui.workbench,1241962004668
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1241962004673
